Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Queens,Kew Gardens Hills,0,0,0,0.0,0
Queens,Briarwood,4be334312fc7d13a7a81083a,Taj Mahal Restaurant & Party Hall,24,7.5,5
Queens,Briarwood,4bad49a0f964a52041423be3,Annam Brahma,15,7.9,3
Queens,Briarwood,4cc08b0900d83704ed474b5c,Sybil's Bakery,8,6.6,3
Queens,Jamaica Center,4bad49a0f964a52041423be3,Annam Brahma,15,7.9,3
Queens,Jamaica Center,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.9,6
Queens,Jamaica Center,4cc08b0900d83704ed474b5c,Sybil's Bakery,8,6.6,3
Queens,Hollis,0,0,0,0.0,0
Queens,South Jamaica,0,0,0,0.0,0
Queens,Steinway,562035d9498e2abb4137c2c7,Yaar Indian Restaurant,32,8.5,7
Queens,Floral Park,527ffc0811d2d329d5e49abd,Jackson Diner,9,8.0,3
Queens,Floral Park,4e4e3e22bd4101d0d7a5c2d1,Kerala Kitchen,6,8.2,6
Queens,Floral Park,4b647b56f964a520c4b62ae3,Usha Foods & Usha Sweets,34,7.7,10
Queens,Floral Park,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,37,7.4,18
Queens,Floral Park,4c0c01e0bbc676b00d6b4cd5,Mumbai Xpress,16,6.7,18
Queens,Floral Park,4c76ff35a5676dcb72671721,Flavor Of India,6,5.8,6
Queens,Floral Park,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6.2,6
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Holliswood,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant,13,8.2,6
Queens,Jamaica Estates,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.9,6
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Ravenswood,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant,19,8.0,9
Staten Island,New Brighton,4b9be038f964a520393036e3,Dosa Garden,18,7.7,17
Staten Island,New Springville,0,0,0,0.0,0
Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II,29,8.2,14
Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden,18,7.7,17
Brooklyn,Ditmas Park,4db0f4371e729fcc56497f20,Mashallah,20,7.6,7
Brooklyn,Ditmas Park,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,7.6,8
Brooklyn,Rugby,0,0,0,0.0,0
Staten Island,Grant City,4be74a502468c928505a0243,Taste Of India II,29,8.2,14
Manhattan,Carnegie Hill,56ed855a498ef3bb022352c3,Mughlai Indian Cuisine,28,8.3,10
Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey,212,8.7,61
Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,600,9.0,150
Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma,15,7.9,3
Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.9,6
Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery,8,6.6,3
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird,8,7.2,3
Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,155,7.9,58
Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,The Kati Roll Company,20,8.7,4
Manhattan,Turtle Bay,4a5b660df964a52015bb1fe3,Amma,101,8.1,67
Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,The Kati Roll Company,20,8.7,4
Queens,Sunnyside Gardens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
Queens,Blissville,5b931ea69d7468002c3b1382,Adda,130,9.1,35
Brooklyn,Broadway Junction,5539753f498edbace4746b67,Tandoori Masala,12,7.8,2
Brooklyn,Erasmus,564d283d498e6e851df79d87,Great Indian Curry,3,6.1,2
Queens,Queensbridge,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,25,7.7,13
Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet,30,6.8,31
